                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1323,                 4.5354,                 3.6653,                0.35966,                0.17294,                0.02435,                0.00793,                 2.4379,                  7.538,                 2.9012,             0.00047533,             0.00047533,             0.00047533
                      2,                 2.2766,                 2.9718,                 2.6012,                0.54289,                0.38712,                0.41795,                0.21169,                 1.8527,                 2.7899,                 2.2339,             0.00092026,             0.00092026,             0.00092026
                      3,                 1.9067,                 2.2618,                 2.1904,                0.73464,                 0.5394,                0.60066,                0.33128,                  1.732,                 2.0224,                 2.0622,              0.0013337,              0.0013337,              0.0013337
                      4,                 1.7119,                 1.8575,                 1.9742,                0.81843,                0.60934,                0.69768,                0.43274,                 1.5849,                 1.5221,                 1.9041,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.6173,                 1.6389,                 1.8784,                 0.8278,                 0.6134,                0.70368,                0.43893,                 1.4949,                 1.5245,                 1.7933,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.5443,                 1.4966,                 1.7779,                0.82419,                0.65768,                0.74803,                0.46447,                 1.4695,                  1.319,                 1.7583,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.4975,                 1.3852,                 1.7362,                0.84065,                0.71571,                0.79988,                0.51091,                 1.4329,                 1.1304,                 1.7071,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.4575,                  1.317,                 1.6957,                0.90268,                 0.7155,                0.81226,                0.52444,                 1.4097,                 1.0836,                 1.6789,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.4262,                 1.2489,                 1.6547,                0.87883,                0.72484,                0.82258,                  0.533,                 1.4035,                  1.093,                 1.6588,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.4033,                  1.199,                 1.6416,                  0.863,                0.71628,                0.80951,                0.54026,                 1.3597,                 1.0145,                 1.6164,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.3716,                 1.1423,                 1.6073,                0.90722,                 0.7597,                0.85911,                0.58181,                  1.285,                    0.9,                 1.5582,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.3531,                 1.1072,                 1.5938,                0.88112,                0.76753,                0.84666,                0.58207,                 1.2919,                0.94737,                 1.5603,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.3205,                 1.0574,                 1.5679,                  0.895,                0.75489,                0.85113,                0.58624,                 1.2722,                0.89486,                 1.5399,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.2498,                0.97433,                 1.5118,                0.84595,                 0.7657,                 0.8503,                0.59413,                 1.2534,                0.88135,                  1.525,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.2214,                0.94277,                 1.4951,                0.90444,                0.73777,                0.84427,                0.57651,                 1.2762,                0.86893,                  1.536,              0.0007688,              0.0007688,              0.0007688
